# Cargo registry dependency license metadata from crate Cargo.toml
# Format: crate	version	license	license-file	repository	homepage
crc32fast	1.5.0	MIT OR Apache-2.0		https://github.com/srijs/rust-crc32fast	
crossbeam-deque	0.8.6	MIT OR Apache-2.0		https://github.com/crossbeam-rs/crossbeam	https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-deque
crossbeam-epoch	0.9.18	MIT OR Apache-2.0		https://github.com/crossbeam-rs/crossbeam	https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-epoch
crossbeam-utils	0.8.21	MIT OR Apache-2.0		https://github.com/crossbeam-rs/crossbeam	https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-utils
crunchy	0.2.4	MIT		https://github.com/eira-fransham/crunchy	https://github.com/eira-fransham/crunchy
cursor-icon	1.2.0	MIT OR Apache-2.0 OR Zlib		https://github.com/rust-windowing/cursor-icon	
dav1d	0.11.1	MIT		https://github.com/rust-av/dav1d-rs	
dav1d-sys	0.8.3	MIT		https://github.com/rust-av/dav1d-rs	
dispatch	0.2.0	MIT		http://github.com/SSheldon/rust-dispatch	
dispatch2	0.3.1	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2	
displaydoc	0.2.5	MIT OR Apache-2.0		https://github.com/yaahc/displaydoc	https://github.com/yaahc/displaydoc
dlib	0.5.3	MIT		https://github.com/elinorbgr/dlib	
document-features	0.2.12	MIT OR Apache-2.0		https://github.com/slint-ui/document-features	https://slint.rs
downcast-rs	1.2.1	MIT/Apache-2.0		https://github.com/marcianx/downcast-rs	
dpi	0.1.2	Apache-2.0 AND MIT		https://github.com/rust-windowing/winit	
ecolor	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui	https://github.com/emilk/egui
eframe	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui/tree/main/crates/eframe	https://github.com/emilk/egui/tree/main/crates/eframe
egui	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui	https://github.com/emilk/egui
egui-wgpu	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui/tree/main/crates/egui-wgpu	https://github.com/emilk/egui/tree/main/crates/egui-wgpu
egui-winit	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui/tree/main/crates/egui-winit	https://github.com/emilk/egui/tree/main/crates/egui-winit
egui_glow	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui/tree/main/crates/egui_glow	https://github.com/emilk/egui/tree/main/crates/egui_glow
either	1.15.0	MIT OR Apache-2.0		https://github.com/rayon-rs/either	
emath	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui/tree/main/crates/emath	https://github.com/emilk/egui/tree/main/crates/emath
endi	1.1.1	MIT		https://github.com/zeenix/endi	
enumflags2	0.7.12	MIT OR Apache-2.0		https://github.com/meithecatte/enumflags2	
enumflags2_derive	0.7.12	MIT OR Apache-2.0		https://github.com/meithecatte/enumflags2	
epaint	0.33.3	MIT OR Apache-2.0		https://github.com/emilk/egui/tree/main/crates/epaint	https://github.com/emilk/egui/tree/main/crates/epaint
epaint_default_fonts	0.33.3	(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0		https://github.com/emilk/egui/tree/main/crates/epaint_default_fonts	https://github.com/emilk/egui/tree/main/crates/epaint_default_fonts
equator	0.4.2	MIT		https://github.com/sarah-ek/equator/	
equator-macro	0.4.2	MIT		https://github.com/sarah-ek/equator/	
equivalent	1.0.2	Apache-2.0 OR MIT		https://github.com/indexmap-rs/equivalent	
errno	0.3.14	MIT OR Apache-2.0		https://github.com/lambda-fairy/rust-errno	
error-code	3.3.2	BSL-1.0		https://github.com/DoumanAsh/error-code	
event-listener	5.4.1	Apache-2.0 OR MIT		https://github.com/smol-rs/event-listener	
event-listener-strategy	0.5.4	Apache-2.0 OR MIT		https://github.com/smol-rs/event-listener-strategy	
exr	1.74.0	BSD-3-Clause		https://github.com/johannesvollmer/exrs	
fallible_collections	0.4.9	MIT/Apache-2.0		https://github.com/vcombey/fallible_collections.git	
fastrand	2.4.1	Apache-2.0 OR MIT		https://github.com/smol-rs/fastrand	
fax	0.2.7	MIT		https://github.com/pdf-rs/fax	
fdeflate	0.3.7	MIT OR Apache-2.0		https://github.com/image-rs/fdeflate	https://github.com/image-rs/fdeflate
find-msvc-tools	0.1.9	MIT OR Apache-2.0		https://github.com/rust-lang/cc-rs	
flate2	1.1.9	MIT OR Apache-2.0		https://github.com/rust-lang/flate2-rs	https://github.com/rust-lang/flate2-rs
fnv	1.0.7	Apache-2.0 / MIT		https://github.com/servo/rust-fnv	
foldhash	0.1.5	Zlib		https://github.com/orlp/foldhash	
foldhash	0.2.0	Zlib		https://github.com/orlp/foldhash	
foreign-types	0.5.0	MIT/Apache-2.0		https://github.com/sfackler/foreign-types	
foreign-types-macros	0.2.3	MIT/Apache-2.0		https://github.com/sfackler/foreign-types	
foreign-types-shared	0.3.1	MIT/Apache-2.0		https://github.com/sfackler/foreign-types	
form_urlencoded	1.2.2	MIT OR Apache-2.0		https://github.com/servo/rust-url	
futures-channel	0.3.32	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs	https://rust-lang.github.io/futures-rs
futures-core	0.3.32	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs	https://rust-lang.github.io/futures-rs
futures-io	0.3.32	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs	https://rust-lang.github.io/futures-rs
futures-lite	2.6.1	Apache-2.0 OR MIT		https://github.com/smol-rs/futures-lite	https://github.com/smol-rs/futures-lite
futures-macro	0.3.32	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs	https://rust-lang.github.io/futures-rs
futures-sink	0.3.32	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs	https://rust-lang.github.io/futures-rs
futures-task	0.3.32	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs	https://rust-lang.github.io/futures-rs
futures-util	0.3.32	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs	https://rust-lang.github.io/futures-rs
gethostname	1.1.0	Apache-2.0		https://codeberg.org/swsnr/gethostname.rs.git	https://codeberg.org/swsnr/gethostname.rs
getrandom	0.2.17	MIT OR Apache-2.0		https://github.com/rust-random/getrandom	
getrandom	0.3.4	MIT OR Apache-2.0		https://github.com/rust-random/getrandom	
getrandom	0.4.2	MIT OR Apache-2.0		https://github.com/rust-random/getrandom	
gif	0.14.2	MIT OR Apache-2.0		https://github.com/image-rs/image-gif	https://github.com/image-rs/image-gif
gl_generator	0.14.0	Apache-2.0		https://github.com/brendanzab/gl-rs/	https://github.com/brendanzab/gl-rs/
glow	0.16.0	MIT OR Apache-2.0 OR Zlib		https://github.com/grovesNL/glow	https://github.com/grovesNL/glow.git
glutin	0.32.3	Apache-2.0		https://github.com/rust-windowing/glutin	
glutin-winit	0.5.0	MIT		https://github.com/rust-windowing/glutin	
glutin_egl_sys	0.7.1	Apache-2.0		https://github.com/rust-windowing/glutin	
glutin_glx_sys	0.6.1	Apache-2.0		https://github.com/rust-windowing/glutin	
glutin_wgl_sys	0.6.1	Apache-2.0		https://github.com/rust-windowing/glutin	
gpu-alloc	0.6.0	MIT OR Apache-2.0		https://github.com/zakarumych/gpu-alloc	https://github.com/zakarumych/gpu-alloc
gpu-alloc-types	0.3.0	MIT OR Apache-2.0		https://github.com/zakarumych/gpu-alloc	https://github.com/zakarumych/gpu-alloc
gpu-allocator	0.27.0	MIT OR Apache-2.0		https://github.com/Traverse-Research/gpu-allocator	https://github.com/Traverse-Research/gpu-allocator
gpu-descriptor	0.3.2	MIT OR Apache-2.0		https://github.com/zakarumych/gpu-descriptor	https://github.com/zakarumych/gpu-descriptor
gpu-descriptor-types	0.2.0	MIT OR Apache-2.0		https://github.com/zakarumych/gpu-descriptor	https://github.com/zakarumych/gpu-descriptor
h2	0.4.14	MIT		https://github.com/hyperium/h2	
half	2.7.1	MIT OR Apache-2.0		https://github.com/VoidStarKat/half-rs	
hashbrown	0.13.2	MIT OR Apache-2.0		https://github.com/rust-lang/hashbrown	
hashbrown	0.15.5	MIT OR Apache-2.0		https://github.com/rust-lang/hashbrown	
hashbrown	0.16.1	MIT OR Apache-2.0		https://github.com/rust-lang/hashbrown	
hashbrown	0.17.1	MIT OR Apache-2.0		https://github.com/rust-lang/hashbrown	
heck	0.5.0	MIT OR Apache-2.0		https://github.com/withoutboats/heck	
hermit-abi	0.5.2	MIT OR Apache-2.0		https://github.com/hermit-os/hermit-rs	
hex	0.4.3	MIT OR Apache-2.0		https://github.com/KokaKiwi/rust-hex	
hexf-parse	0.2.1	CC0-1.0		https://github.com/lifthrasiir/hexf	https://github.com/lifthrasiir/hexf
http	1.4.0	MIT OR Apache-2.0		https://github.com/hyperium/http	
http-body	1.0.1	MIT		https://github.com/hyperium/http-body	
http-body-util	0.1.3	MIT		https://github.com/hyperium/http-body	
httparse	1.10.1	MIT OR Apache-2.0		https://github.com/seanmonstar/httparse	
hyper	1.9.0	MIT		https://github.com/hyperium/hyper	https://hyper.rs
hyper-rustls	0.27.9	Apache-2.0 OR ISC OR MIT		https://github.com/rustls/hyper-rustls	https://github.com/rustls/hyper-rustls
hyper-util	0.1.20	MIT		https://github.com/hyperium/hyper-util	https://hyper.rs
icu_collections	2.2.0	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
icu_locale_core	2.2.0	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
icu_normalizer	2.2.0	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
icu_normalizer_data	2.2.0	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
icu_properties	2.2.0	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
icu_properties_data	2.2.0	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
icu_provider	2.2.0	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
id-arena	2.3.0	MIT/Apache-2.0		https://github.com/fitzgen/id-arena	
idna	1.1.0	MIT OR Apache-2.0		https://github.com/servo/rust-url/	
idna_adapter	1.2.2	Apache-2.0 OR MIT		https://github.com/hsivonen/idna_adapter	https://docs.rs/crate/idna_adapter/latest
image	0.25.10	MIT OR Apache-2.0		https://github.com/image-rs/image	https://github.com/image-rs/image
image-webp	0.2.4	MIT OR Apache-2.0		https://github.com/image-rs/image-webp	https://github.com/image-rs/image-webp
imgref	1.12.1	CC0-1.0 OR Apache-2.0		https://github.com/kornelski/imgref	https://lib.rs/crates/imgref
indexmap	2.14.0	Apache-2.0 OR MIT		https://github.com/indexmap-rs/indexmap	
interpolate_name	0.2.4	MIT		https://github.com/lu-zero/interpolate_name	
ipnet	2.12.0	MIT OR Apache-2.0		https://github.com/krisprice/ipnet	
itertools	0.14.0	MIT OR Apache-2.0		https://github.com/rust-itertools/itertools	
itoa	1.0.18	MIT OR Apache-2.0		https://github.com/dtolnay/itoa	
jni	0.22.4	MIT OR Apache-2.0		https://github.com/jni-rs/jni-rs	
jni-macros	0.22.4	MIT OR Apache-2.0		https://github.com/jni-rs/jni-rs	
jni-sys	0.3.1	MIT OR Apache-2.0		https://github.com/jni-rs/jni-sys	
jni-sys	0.4.1	MIT OR Apache-2.0		https://github.com/jni-rs/jni-sys	
jni-sys-macros	0.4.1	MIT OR Apache-2.0		https://github.com/jni-rs/jni-sys	
jobserver	0.1.34	MIT OR Apache-2.0		https://github.com/rust-lang/jobserver-rs	https://github.com/rust-lang/jobserver-rs
js-sys	0.3.98	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys	https://wasm-bindgen.github.io/wasm-bindgen/
khronos-egl	6.0.0	MIT/Apache-2.0		https://github.com/timothee-haudebourg/khronos-egl	
khronos_api	3.1.0	Apache-2.0		https://github.com/brendanzab/gl-rs/	https://github.com/brendanzab/gl-rs/
leb128fmt	0.1.0	MIT OR Apache-2.0		https://github.com/bluk/leb128fmt	
lebe	0.5.3	BSD-3-Clause		https://github.com/johannesvollmer/lebe	
libc	0.2.186	MIT OR Apache-2.0		https://github.com/rust-lang/libc	
libfuzzer-sys	0.4.12	(MIT OR Apache-2.0) AND NCSA		https://github.com/rust-fuzz/libfuzzer	
libloading	0.8.9	ISC		https://github.com/nagisa/rust_libloading/	
libm	0.2.16	MIT		https://github.com/rust-lang/compiler-builtins	
libredox	0.1.16	MIT		https://gitlab.redox-os.org/redox-os/libredox.git	
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/sunfishcode/linux-raw-sys	
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/sunfishcode/linux-raw-sys	
litemap	0.8.2	Unicode-3.0		https://github.com/unicode-org/icu4x	
litrs	1.0.0	MIT OR Apache-2.0		https://github.com/LukasKalbertodt/litrs	
lock_api	0.4.14	MIT OR Apache-2.0		https://github.com/Amanieu/parking_lot	
log	0.4.29	MIT OR Apache-2.0		https://github.com/rust-lang/log	
loop9	0.1.5	MIT		https://gitlab.com/kornelski/loop9.git	https://lib.rs/crates/loop9
lru-slab	0.1.2	MIT OR Apache-2.0 OR Zlib		https://github.com/Ralith/lru-slab	
malloc_buf	0.0.6	MIT		https://github.com/SSheldon/malloc_buf	
maybe-rayon	0.1.1	MIT		https://github.com/shssoichiro/maybe-rayon	https://github.com/shssoichiro/maybe-rayon
memchr	2.8.0	Unlicense OR MIT		https://github.com/BurntSushi/memchr	https://github.com/BurntSushi/memchr
memmap2	0.9.10	MIT OR Apache-2.0		https://github.com/RazrFalcon/memmap2-rs	
memoffset	0.9.1	MIT		https://github.com/Gilnaa/memoffset	
metal	0.32.0	MIT OR Apache-2.0		https://github.com/gfx-rs/metal-rs	https://github.com/gfx-rs/metal-rs
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0		https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide	https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
mio	1.2.0	MIT		https://github.com/tokio-rs/mio	https://github.com/tokio-rs/mio
moxcms	0.8.1	BSD-3-Clause OR Apache-2.0		https://github.com/awxkee/moxcms.git	https://github.com/awxkee/moxcms
mp4parse	0.17.0	MPL-2.0		https://github.com/mozilla/mp4parse-rust	
naga	27.0.3	MIT OR Apache-2.0		https://github.com/gfx-rs/wgpu	
ndk	0.9.0	MIT OR Apache-2.0		https://github.com/rust-mobile/ndk	https://github.com/rust-mobile/ndk
ndk-context	0.1.1	MIT OR Apache-2.0		https://github.com/rust-windowing/android-ndk-rs	https://github.com/rust-windowing/android-ndk-rs
ndk-sys	0.6.0+11769913	MIT OR Apache-2.0		https://github.com/rust-mobile/ndk	https://github.com/rust-mobile/ndk
new_debug_unreachable	1.0.6	MIT		https://github.com/mbrubeck/rust-debug-unreachable	
no_std_io2	0.9.4	Apache-2.0 OR MIT		https://github.com/wcampbell0x2a/no-std-io2	
nohash-hasher	0.2.0	Apache-2.0 OR MIT		https://github.com/paritytech/nohash-hasher	
nom	8.0.0	MIT		https://github.com/rust-bakery/nom	
noop_proc_macro	0.3.0	MIT		https://github.com/lu-zero/noop_proc_macro	
num-bigint	0.4.6	MIT OR Apache-2.0		https://github.com/rust-num/num-bigint	https://github.com/rust-num/num-bigint
num-derive	0.4.2	MIT OR Apache-2.0		https://github.com/rust-num/num-derive	https://github.com/rust-num/num-derive
num-integer	0.1.46	MIT OR Apache-2.0		https://github.com/rust-num/num-integer	https://github.com/rust-num/num-integer
num-rational	0.4.2	MIT OR Apache-2.0		https://github.com/rust-num/num-rational	https://github.com/rust-num/num-rational
num-traits	0.2.19	MIT OR Apache-2.0		https://github.com/rust-num/num-traits	https://github.com/rust-num/num-traits
num_enum	0.7.6	BSD-3-Clause OR MIT OR Apache-2.0		https://github.com/illicitonion/num_enum	
num_enum_derive	0.7.6	BSD-3-Clause OR MIT OR Apache-2.0		https://github.com/illicitonion/num_enum	
objc	0.2.7	MIT		http://github.com/SSheldon/rust-objc	
objc-sys	0.3.5	MIT		https://github.com/madsmtm/objc2	
objc2	0.5.2	MIT		https://github.com/madsmtm/objc2	
objc2	0.6.4	MIT		https://github.com/madsmtm/objc2	
objc2-app-kit	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-app-kit	0.3.2	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2	
objc2-cloud-kit	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-contacts	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-core-data	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-core-foundation	0.3.2	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2	
objc2-core-graphics	0.3.2	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2	
objc2-core-image	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-core-location	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-encode	4.1.0	MIT		https://github.com/madsmtm/objc2	
objc2-foundation	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-foundation	0.3.2	MIT		https://github.com/madsmtm/objc2	
objc2-io-surface	0.3.2	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2	
objc2-link-presentation	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-metal	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-quartz-core	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-symbols	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-ui-kit	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-uniform-type-identifiers	0.2.2	MIT		https://github.com/madsmtm/objc2	
objc2-user-notifications	0.2.2	MIT		https://github.com/madsmtm/objc2	
once_cell	1.21.4	MIT OR Apache-2.0		https://github.com/matklad/once_cell	
orbclient	0.3.54	MIT		https://gitlab.redox-os.org/redox-os/orbclient	
ordered-float	5.3.0	MIT		https://github.com/reem/rust-ordered-float	
ordered-stream	0.2.0	MIT OR Apache-2.0		https://github.com/danieldg/ordered-stream	
owned_ttf_parser	0.25.1	Apache-2.0		https://github.com/alexheretic/owned-ttf-parser	
parking	2.2.1	Apache-2.0 OR MIT		https://github.com/smol-rs/parking	https://github.com/smol-rs/parking
parking_lot	0.12.5	MIT OR Apache-2.0		https://github.com/Amanieu/parking_lot	
parking_lot_core	0.9.12	MIT OR Apache-2.0		https://github.com/Amanieu/parking_lot	
paste	1.0.15	MIT OR Apache-2.0		https://github.com/dtolnay/paste	
pastey	0.1.1	MIT OR Apache-2.0		https://github.com/as1100k/pastey	
percent-encoding	2.3.2	MIT OR Apache-2.0		https://github.com/servo/rust-url/	
pin-project	1.1.12	Apache-2.0 OR MIT		https://github.com/taiki-e/pin-project	
pin-project-internal	1.1.12	Apache-2.0 OR MIT		https://github.com/taiki-e/pin-project	
pin-project-lite	0.2.17	Apache-2.0 OR MIT		https://github.com/taiki-e/pin-project-lite	
piper	0.2.5	MIT OR Apache-2.0		https://github.com/smol-rs/piper	
pkg-config	0.3.33	MIT OR Apache-2.0		https://github.com/rust-lang/pkg-config-rs	
plain	0.2.3	MIT/Apache-2.0		https://github.com/randomites/plain	https://github.com/randomites/plain
png	0.18.1	MIT OR Apache-2.0		https://github.com/image-rs/image-png	
polling	3.11.0	Apache-2.0 OR MIT		https://github.com/smol-rs/polling	
portable-atomic	1.13.1	Apache-2.0 OR MIT		https://github.com/taiki-e/portable-atomic	
portable-atomic-util	0.2.7	Apache-2.0 OR MIT		https://github.com/taiki-e/portable-atomic-util	
potential_utf	0.1.5	Unicode-3.0		https://github.com/unicode-org/icu4x	https://icu4x.unicode.org
ppv-lite86	0.2.21	MIT OR Apache-2.0		https://github.com/cryptocorrosion/cryptocorrosion	
